Posting Date,CustomerName,BILL TO STATE,Item/Service Description(sku),Segment,Basic Value,TOTAL COGS
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM01 BK,295.76,166.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Sikkim,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)SikkimEM01 BK,295.76,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW100 XTREME BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW100 XTREME BK,846.61,631.01
11/05/2024,DELHIVERY-COD,Tamil Nadu,ATOMIK BB30 BK RCT,45423DELHIVERY-CODTamil NaduATOMIK BB30 BK RCT,"3,473.73","2,713.40"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM06-TYPE-C-BL,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM06-TYPE-C-BL,295.76,191.5
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM06-TYPE-C-BK,308.47,191.51
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,EM06-TYPE-C-BL,45423Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduEM06-TYPE-C-BL,350.85,191.51
11/05/2024,CUSTOMER REPLACEMENT,Bihar,SBA01-REKURVE-BK,45423CUSTOMER REPLACEMENTBiharSBA01-REKURVE-BK,"4,300.00","2,129.12"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW100 XTREME WH,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW100 XTREME WH,846.61,628
11/05/2024,FLIPKART MARKETPLACE (DELHI),Delhi,SBA20 BK,45423FLIPKART MARKETPLACE (DELHI)DelhiSBA20 BK,"1,100.85",634.97
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM06-TYPE-C-BK,350.85,191.51
11/05/2024,CASHFREE,Uttar Pradesh,SBA15 B,45423CASHFREEUttar PradeshSBA15 B,804.24,546.99
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM01 TYPE C BK,477.97,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Odisha,EM01 TYPE C BK,45423FLIPKART MARKETPLACE (DELHI)OdishaEM01 TYPE C BK,465.25,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Bihar,SBA20 BK,45423FLIPKART MARKETPLACE (DELHI)BiharSBA20 BK,"1,100.85",634.97
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Madhya Pradesh,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)Madhya PradeshEM06-TYPE-C-BK,616.94,383.02
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06-TYPE-C-BK,295.76,191.51
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Bihar,SBA15 B,45423Simpl (BIL Sigma Technologies Pvt Ltd)BiharSBA15 B,829.66,546.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06-TYPE-C-BL,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06-TYPE-C-BL,295.76,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Madhya PradeshEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM06-TYPE-C-BK,295.76,191.51
11/05/2024,CUSTOMER REPLACEMENT,Punjab,SPR-BP-WRCSBWL100BK,45423CUSTOMER REPLACEMENTPunjabSPR-BP-WRCSBWL100BK,677.12,710
11/05/2024,FLIPKART MARKETPLACE (DELHI),Nagaland,BTW100-XTREME-BL,45423FLIPKART MARKETPLACE (DELHI)NagalandBTW100-XTREME-BL,846.61,600.75
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Punjab,BH41-BL,45423Simpl (BIL Sigma Technologies Pvt Ltd)PunjabBH41-BL,"1,249.19",600.35
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduEM01 TYPE C BK,444.49,222.59
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM06-TYPE-C-BL,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM06-TYPE-C-BL,376.27,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM01 BK,338.14,162.17
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,EM06-TYPE-C-BL,45423Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduEM06-TYPE-C-BL,350.85,191.51
11/05/2024,CUSTOMER REPLACEMENT,Maharashtra,BTW100 BL,45423CUSTOMER REPLACEMENTMaharashtraBTW100 BL,"1,100.85",801.97
11/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,ATOMIK BB20 RB,45423FLIPKART MARKETPLACE (DELHI)Madhya PradeshATOMIK BB20 RB,"1,524.58",795.45
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW300-XTREME-BK,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW300-XTREME-BK,"1,355.08",720.21
11/05/2024,DELHIVERY-COD,Uttar Pradesh,ATOMIK BB20 RB,45423DELHIVERY-CODUttar PradeshATOMIK BB20 RB,"1,588.14",795.45
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,ATOMIK BB20 BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiATOMIK BB20 BK,"1,488.60",795.45
11/05/2024,FLIPKART MARKETPLACE (DELHI),Telangana,BTW09-AIR-BL,45423FLIPKART MARKETPLACE (DELHI)TelanganaBTW09-AIR-BL,592.37,438.57
11/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Andhra PradeshEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Haryana,BTW300-XTREME-BK,45423FLIPKART MARKETPLACE (DELHI)HaryanaBTW300-XTREME-BK,"1,355.08",720.21
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW300 GR,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW300 GR,"1,185.59",631.94
11/05/2024,CASHFREE,Odisha,SBA20-KONCERT-BK,45423CASHFREEOdishaSBA20-KONCERT-BK,"1,211.02",732.69
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,SBA20 BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiSBA20 BK,"1,069.96",634.97
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06 BK,253.39,146.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW09-AIR-BL,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW09-AIR-BL,592.37,438.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Odisha,EM06-TYPE-C-BL,45423FLIPKART MARKETPLACE (DELHI)OdishaEM06-TYPE-C-BL,295.76,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06 BK,253.39,146.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Mizoram,BTW12 KHROME WH,45423FLIPKART MARKETPLACE (DELHI)MizoramBTW12 KHROME WH,"1,016.10",652.61
11/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Andhra PradeshEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,BTW100 XTREME WH,45423FLIPKART MARKETPLACE (DELHI)Uttar PradeshBTW100 XTREME WH,846.61,638.86
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Telangana,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)TelanganaEM01 TYPE C BK,477.97,374.58
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Odisha,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)OdishaEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW100-XTREME-BL,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW100-XTREME-BL,846.61,600.75
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW100 XTREME BK,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW100 XTREME BK,846.61,631.01
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)Uttar PradeshEM06 BK,258.47,146.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Bihar,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)BiharEM06 BK,253.39,146.19
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Gujarat,BTW300-XTREME-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)GujaratBTW300-XTREME-BK,"1,327.58",720.21
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,SBA20 BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiSBA20 BK,"1,110.21",634.97
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,SBW550 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduSBW550 BK,"8,473.73","3,944.19"
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,SBA20 BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiSBA20 BK,949.19,634.97
11/05/2024,CASHFREE,Karnataka,BTW20 WH,45423CASHFREEKarnatakaBTW20 WH,787.29,730.11
11/05/2024,FLIPKART MARKETPLACE (DELHI),Telangana,BH41-BL,45423FLIPKART MARKETPLACE (DELHI)TelanganaBH41-BL,"1,270.34",600.35
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,BTW300 WH,45423Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaBTW300 WH,"1,150.47",626.34
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW300 BL,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW300 BL,"1,185.59",657.19
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Jharkhand,BE100-XTREME-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)JharkhandBE100-XTREME-BK,"1,113.56",583.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)West BengalEM06 BK,253.39,146.19
11/05/2024,BlueDart Express Limited-COD,Maharashtra,BTW100 KHROME BL,45423BlueDart Express Limited-CODMaharashtraBTW100 KHROME BL,"1,041.53",911.55
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)MaharashtraEM06-TYPE-C-BK,338.14,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)MaharashtraEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)GujaratEM06-TYPE-C-BK,295.76,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,BTW300-XTREME-BK,45423FLIPKART MARKETPLACE (DELHI)Madhya PradeshBTW300-XTREME-BK,"1,355.08",711.53
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,SBA20-KONCERT-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraSBA20-KONCERT-BK,"1,376.27",732.69
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM06-TYPE-C-BK,295.76,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Delhi,BT03 BK,45423FLIPKART MARKETPLACE (DELHI)DelhiBT03 BK,634.75,415.92
11/05/2024,FLIPKART MARKETPLACE (DELHI),Bihar,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)BiharEM06 BK,253.39,146.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Andhra PradeshEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Rajasthan,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)RajasthanEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)MaharashtraEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,BTW100 XTREME WH,45423FLIPKART MARKETPLACE (DELHI)KarnatakaBTW100 XTREME WH,846.61,638.86
11/05/2024,BlueDart Express Limited-COD,Delhi,BTW300 GR,45423BlueDart Express Limited-CODDelhiBTW300 GR,"2,625.42","1,263.88"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Delhi,BTW12 KHROME WH,45423FLIPKART MARKETPLACE (DELHI)DelhiBTW12 KHROME WH,"1,016.10",652.61
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,ATOMIK BB50 BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaATOMIK BB50 BK,"4,042.37","2,545.44"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)GujaratEM01 BK,338.14,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)West BengalEM01 BK,338.14,162.17
11/05/2024,CASHFREE,Karnataka,BH41-BL,45423CASHFREEKarnatakaBH41-BL,"1,295.76",600.35
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,BTW12-KHROME-BL,45423FLIPKART MARKETPLACE (DELHI)West BengalBTW12-KHROME-BL,"1,016.10",616.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW100 XTREME WH,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW100 XTREME WH,"1,100.85",588.39
11/05/2024,FLIPKART MARKETPLACE (DELHI),Rajasthan,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)RajasthanEM06-TYPE-C-BK,380.51,191.51
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM01 TYPE C BK,477.97,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)MaharashtraEM01 BK,295.76,166.98
11/05/2024,DELHIVERY-COD,Haryana,SBW200 BK,45423DELHIVERY-CODHaryanaSBW200 BK,"4,723.73","3,489.79"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM06 BK,253.39,146.18
11/05/2024,BlueDart Express Limited-COD,Delhi,BTW100 KHROME BK,45423BlueDart Express Limited-CODDelhiBTW100 KHROME BK,"1,079.66",630.78
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW300 BL,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW300 BL,"1,185.59",657.19
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06 BK,253.39,146.18
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiEM06-TYPE-C-BK,350.85,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,BTW300 GR,45423FLIPKART MARKETPLACE (DELHI)KarnatakaBTW300 GR,"1,185.59",631.93
11/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)Uttar PradeshEM06 BK,253.39,146.19
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,BTW09-AIR-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaBTW09-AIR-BK,787.29,443.63
11/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,SBA15-GM,45423FLIPKART MARKETPLACE (DELHI)Andhra PradeshSBA15-GM,685.59,735
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,BH41-BL,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraBH41-BL,"1,230.97",605.22
11/05/2024,BlueDart Express Limited-COD,Madhya Pradesh,BTW300 WH,45423BlueDart Express Limited-CODMadhya PradeshBTW300 WH,"1,249.15",626.34
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,EM06-TYPE-C-BL,45423FLIPKART MARKETPLACE (DELHI)MaharashtraEM06-TYPE-C-BL,280.51,191.51
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),West Bengal,SBA20-KONCERT-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)West BengalSBA20-KONCERT-BK,"1,327.58",732.69
11/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Madhya PradeshEM01 BK,295.76,166.98
11/05/2024,CASHFREE,Madhya Pradesh,SBA15 BK,45423CASHFREEMadhya PradeshSBA15 BK,804.24,546.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM01 BK,338.14,162.17
11/05/2024,DELHIVERY-COD,Maharashtra,SBA10 BK,45423DELHIVERY-CODMaharashtraSBA10 BK,829.66,581.46
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)West BengalEM01 BK,295.76,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,SBA15 B,45423FLIPKART MARKETPLACE (DELHI)GujaratSBA15 B,723.73,546.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM01 BK,280.51,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM06-TYPE-C-BK,295.76,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)GujaratEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Jammu and Kashmir,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Jammu and KashmirEM01 BK,300.85,166.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM01 BK,295.76,166.98
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW09-AIR-BL,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW09-AIR-BL,592.37,438.57
11/05/2024,FLIPKART MARKETPLACE (DELHI),Chattisgarh,TS120 BK,45423FLIPKART MARKETPLACE (DELHI)ChattisgarhTS120 BK,"7,626.27","3,931.00"
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Madhya Pradesh,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)Madhya PradeshEM06-TYPE-C-BK,308.47,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduEM01 BK,338.14,162.17
11/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,ATOMIK-PS30-PRO,45423FLIPKART MARKETPLACE (DELHI)MaharashtraATOMIK-PS30-PRO,"2,541.53","2,120.11"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,BE100-XTREME-BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaBE100-XTREME-BK,"1,100.85",583.19
11/05/2024,CASHFREE,Andhra Pradesh,SBA15-GM,45423CASHFREEAndhra PradeshSBA15-GM,520.34,571.06
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,TS120 BR,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraTS120 BR,"7,880.51","2,987.69"
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Punjab,EM01 BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)PunjabEM01 BK,350.85,162.17
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Punjab,SBA20-KONCERT-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)PunjabSBA20-KONCERT-BK,"1,327.58",732.69
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Rajasthan,BTW100-KHROME-PWH,45423Simpl (BIL Sigma Technologies Pvt Ltd)RajasthanBTW100-KHROME-PWH,989.45,619.94
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,SBA15 B,45423Simpl (BIL Sigma Technologies Pvt Ltd)DelhiSBA15 B,829.66,546.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,EM06-TYPE-C-BK,45423FLIPKART MARKETPLACE (DELHI)West BengalEM06-TYPE-C-BK,295.76,191.51
11/05/2024,CASHFREE,Maharashtra,BTW300-PLATINUM-BK,45423CASHFREEMaharashtraBTW300-PLATINUM-BK,"3,431.36","1,473.25"
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM01 TYPE C BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM01 TYPE C BK,465.25,222.6
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM01 TYPE C BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM01 TYPE C BK,465.25,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Tamil Nadu,BTW100 XTREME BK,45423FLIPKART MARKETPLACE (DELHI)Tamil NaduBTW100 XTREME BK,"1,185.59",631.01
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Madhya Pradesh,EM06-TYPE-C-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)Madhya PradeshEM06-TYPE-C-BK,350.85,191.51
11/05/2024,FLIPKART MARKETPLACE (DELHI),Haryana,SBA30 BK,45423FLIPKART MARKETPLACE (DELHI)HaryanaSBA30 BK,"2,117.80","1,402.90"
11/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)West BengalEM01 BK,295.76,166.98
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Rajasthan,SBA15 B,45423Simpl (BIL Sigma Technologies Pvt Ltd)RajasthanSBA15 B,829.66,546.99
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)KeralaEM06 BK,253.39,146.18
11/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)KarnatakaEM06 BK,253.39,146.18
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,BTW300-XTREME-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaBTW300-XTREME-BK,"1,327.58",711.54
11/05/2024,FLIPKART MARKETPLACE (DELHI),Telangana,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)TelanganaEM01 BK,338.14,162.17
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,SBA20-PRO-BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaSBA20-PRO-BK,"1,408.09",706.27
11/05/2024,DELHIVERY-COD,West Bengal,SBA20 BK,45423DELHIVERY-CODWest BengalSBA20 BK,"1,168.64",610.91
11/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,EM01 BK,45423FLIPKART MARKETPLACE (DELHI)Andhra PradeshEM01 BK,338.14,162.17
11/05/2024,CASHFREE,Haryana,BTW300-XTREME-BK,45423CASHFREEHaryanaBTW300-XTREME-BK,"1,397.46",720.21
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,BTW100 XTREME BK,45423FLIPKART MARKETPLACE (DELHI)KeralaBTW100 XTREME BK,846.61,631.01
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Telangana,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)TelanganaEM01 TYPE C BK,477.97,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Odisha,SBA20 BK,45423FLIPKART MARKETPLACE (DELHI)OdishaSBA20 BK,"1,058.47",634.97
11/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,BTW300-PLATINUM-BK,45423FLIPKART MARKETPLACE (DELHI)Uttar PradeshBTW300-PLATINUM-BK,"2,896.61","1,473.25"
11/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,EM01 TYPE C BK,45423Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraEM01 TYPE C BK,477.97,222.59
11/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,BTW300 GR,45423FLIPKART MARKETPLACE (DELHI)GujaratBTW300 GR,"1,185.59",631.93
11/05/2024,FLIPKART MARKETPLACE (DELHI),Kerala,SBA15-GM,45423FLIPKART MARKETPLACE (DELHI)KeralaSBA15-GM,761.86,571.06
11/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,EM06 BK,45423FLIPKART MARKETPLACE (DELHI)Uttar PradeshEM06 BK,253.39,146.18
